"date" "gender" "dog_id"
1951-07-22 "Male" 1
1951-07-22 "Male" 2
1951-07-29 "Male" 1
1951-07-29 "Female" 2
1951-08-15 "Male" 1
1951-08-15 "Male" 2
1951-08-19 "Male" 1
1951-08-19 "Male" 2
1951-08-28 "Male" 1
1951-08-28 "Male" 2
1951-09-03 "Male" 1
1951-09-03 "Male" 2
1951-06-26 "Female" 1
1951-06-26 "Male" 2
1954-07-02 "Female" 1
1954-07-02 "Male" 2
1954-07-07 "Female" 1
1954-07-07 "Male" 2
1954-07-26 "Female" 1
1954-07-26 "Male" 2
1955-01-25 "Female" 1
1955-01-25 "Female" 2
1955-02-05 "Female" 1
1955-02-05 "Female" 2
1955-11-04 "Female" 1
1955-11-04 "Female" 2
1956-05-14 "Female" 1
1956-05-14 "Female" 2
1956-05-31 "Female" 1
1956-05-31 "Female" 2
1956-06-07 "Female" 1
1956-06-07 "Female" 2
1956-06-14 "Female" 1
1956-06-14 "Female" 2
1957-05-16 "Female" 1
1957-05-16 "Female" 2
1957-05-24 "Female" 1
1957-05-24 "Female" 2
1957-08-25 "Female" 1
1957-08-25 "Female" 2
1957-08-31 "Female" 1
1957-08-31 "Female" 2
1957-09-06 "Female" 1
1957-09-06 "Female" 2
1957-11-03 "Female" 1
1958-02-21 "Female" 1
1958-02-21 "Male" 2
1958-08-02 "Female" 1
1958-08-02 "Female" 2
1958-08-13 "Female" 1
1958-08-13 "Female" 2
1958-08-27 "Female" 1
1958-08-27 "Female" 2
1958-09-19 "Female" 1
1958-09-19 "Female" 2
1958-10-31 "Female" 1
1958-10-31 "Female" 2
1959-07-02 "Female" 1
1959-07-02 "Female" 2
1959-07-10 "Female" 1
1959-07-10 "Female" 2
1960-06-15 "Female" 1
1960-06-15 "Male" 2
1960-06-24 "Female" 1
1960-06-24 "Female" 2
1960-07-28 "Female" 1
1960-07-28 "Female" 2
1960-08-19 "Female" 1
1960-08-19 "Female" 2
1960-09-16 "Male" 1
1960-09-16 "Female" 2
1960-09-22 "Female" 1
1960-09-22 "Female" 2
1960-12-01 "Female" 1
1960-12-01 "Female" 2
1960-12-22 "Female" 1
1960-12-22 "Female" 2
1961-03-09 "Female" 1
1961-03-25 "Female" 1
1966-02-22 "Male" 1
1966-02-22 "Male" 2
